generation,best_distance_so_far,generation_best_distance,avg_distance,worst_distance,best_fitness,avg_fitness,worst_fitness,unique_pct,hamming_pct,no_improve
68,1711.341019608113,1711.341019608113,1747.1989290727731,2088.4901055573005,0.0005843370716544816,0.0005733093742756533,0.00047881481331373406,22.0,14.3125,5
69,1711.341019608113,1711.341019608113,1734.6579525929728,2134.639717283584,0.0005843370716544816,0.0005772829223912602,0.00046846312841613397,18.0,4.4375,6
70,1711.341019608113,1711.341019608113,1753.1928800219164,2158.906530605033,0.0005843370716544816,0.000571878269652636,0.0004631974501090373,24.0,18.28125,7
71,1711.341019608113,1711.341019608113,1742.789854745186,2153.992113627338,0.0005843370716544816,0.0005749105169605727,0.00046425425314858395,19.0,19.96875,8
72,1708.571153045166,1708.571153045166,1728.5473448965724,2012.6889583772559,0.0005852843753201097,0.000579158765333764,0.000496847759728486,11.0,5.5,0
73,1708.571153045166,1708.571153045166,1748.2892472394728,2104.7155154011684,0.0005852843753201097,0.0005731067363312301,0.0004751235939881381,26.0,16.59375,1
74,1708.571153045166,1708.571153045166,1747.418664709113,2080.1765887564197,0.0005852843753201097,0.0005733531733502967,0.00048072841767622426,25.0,19.3125,2
75,1708.571153045166,1708.571153045166,1756.513326669211,2108.1955092181493,0.0005852843753201097,0.0005709494711255268,0.000474339308487979,23.0,22.25,3
76,1708.571153045166,1708.571153045166,1740.790435870436,2022.9357268680992,0.0005852843753201097,0.0005754610228767047,0.0004943310786982815,19.0,7.3125,4
77,1708.571153045166,1708.571153045166,1731.5898089645439,2004.6838913920656,0.0005852843753201097,0.0005781566902924281,0.0004988317630993648,15.0,8.5,5
78,1708.571153045166,1708.571153045166,1739.3212294257976,2104.7098339448494,0.0005852843753201097,0.0005760806777824248,0.0004751248765373531,17.0,19.75,6
79,1708.571153045166,1708.571153045166,1729.583259139084,2096.672153630834,0.0005852843753201097,0.0005789073301582598,0.0004769462876054736,14.000000000000002,10.875,7
80,1708.571153045166,1708.571153045166,1738.1942794004658,2053.477947705828,0.0005852843753201097,0.000576457515126563,0.00048697868955311285,16.0,11.9375,8
81,1708.571153045166,1708.571153045166,1731.4088176189189,2074.406902654441,0.0005852843753201097,0.0005783566754803463,0.00048206549964733777,14.000000000000002,12.812499999999998,9
82,1708.571153045166,1708.571153045166,1730.9755561685847,1991.8864545424385,0.0005852843753201097,0.0005783914975849011,0.0005020366485848272,16.0,8.375,10
83,1708.571153045166,1708.571153045166,1738.9911544218487,2098.2937476155766,0.0005852843753201097,0.0005762070377235592,0.00047657769610969034,17.0,11.59375,11
84,1708.571153045166,1708.571153045166,1746.691339313778,2177.0563738386863,0.0005852843753201097,0.0005738618035029331,0.0004593358316379991,20.0,13.6875,12
85,1708.571153045166,1708.571153045166,1727.6337341371743,2022.8057378287333,0.0005852843753201097,0.0005795455818960248,0.0004943628452791484,11.0,5.40625,13
